region,preproc,model,thresh,score
L,rawspectrogram,linear,0.00,0.335345
L,rawspectrogram,linear,0.25,0.349194
L,rawspectrogram,linear,0.50,0.339919
L,rawspectrogram,linear,0.75,0.339643
L,rawspectrogram,linear,1.00,0.326446
L,rawspectrogram,sepnl_spline,0.00,0.429181
L,rawspectrogram,sepnl_spline,0.25,0.428890
L,rawspectrogram,sepnl_spline,0.50,0.432920
L,rawspectrogram,sepnl_spline,0.75,0.431843
L,rawspectrogram,sepnl_spline,1.00,0.445344
L,rawspectrogram,sepnl_dists,0.00,0.425787
L,rawspectrogram,sepnl_dists,0.25,0.425367
L,rawspectrogram,sepnl_dists,0.50,0.428892
L,rawspectrogram,sepnl_dists,0.75,0.438671
L,rawspectrogram,sepnl_dists,1.00,0.440851
L,rawspectrogram,poisson,0.00,0.248046
L,rawspectrogram,poisson,0.25,0.265349
L,rawspectrogram,poisson,0.50,0.345336
L,rawspectrogram,poisson,0.75,0.350448
L,rawspectrogram,poisson,1.00,0.362021
L,rawspectrogram,binomial,0.00,0.072855
L,rawspectrogram,binomial,0.25,0.117492
L,rawspectrogram,binomial,0.50,0.357871
L,rawspectrogram,binomial,0.75,0.393491
L,rawspectrogram,binomial,1.00,0.405586
L,rawspectrogram,leglm,0.00,0.352828
L,rawspectrogram,leglm,0.25,0.368090
L,rawspectrogram,leglm,0.50,0.381056
L,rawspectrogram,leglm,0.75,0.395027
L,rawspectrogram,leglm,1.00,0.389213
L,lyons,linear,0.00,0.408662
L,lyons,linear,0.25,0.409663
L,lyons,linear,0.50,0.413676
L,lyons,linear,0.75,0.411874
L,lyons,linear,1.00,0.391821
L,lyons,sepnl_spline,0.00,0.488654
L,lyons,sepnl_spline,0.25,0.490168
L,lyons,sepnl_spline,0.50,0.488975
L,lyons,sepnl_spline,0.75,0.491162
L,lyons,sepnl_spline,1.00,0.465918
L,lyons,sepnl_dists,0.00,0.393207
L,lyons,sepnl_dists,0.25,0.422196
L,lyons,sepnl_dists,0.50,0.399889
L,lyons,sepnl_dists,0.75,0.460532
L,lyons,sepnl_dists,1.00,0.463441
L,lyons,poisson,0.00,0.175211
L,lyons,poisson,0.25,0.307245
L,lyons,poisson,0.50,0.355090
L,lyons,poisson,0.75,0.342807
L,lyons,poisson,1.00,0.325918
L,lyons,binomial,0.00,0.153286
L,lyons,binomial,0.25,0.295497
L,lyons,binomial,0.50,0.320159
L,lyons,binomial,0.75,0.390633
L,lyons,binomial,1.00,0.374669
L,lyons,leglm,0.00,0.369635
L,lyons,leglm,0.25,0.382229
L,lyons,leglm,0.50,0.386063
L,lyons,leglm,0.75,0.374753
L,lyons,leglm,1.00,0.357071
L,surprise,linear,0.00,0.489907
L,surprise,linear,0.25,0.489746
L,surprise,linear,0.50,0.488179
L,surprise,linear,0.75,0.488707
L,surprise,linear,1.00,0.482853
L,surprise,sepnl_spline,0.00,0.505438
L,surprise,sepnl_spline,0.25,0.504561
L,surprise,sepnl_spline,0.50,0.500630
L,surprise,sepnl_spline,0.75,0.500313
L,surprise,sepnl_spline,1.00,0.488107
L,surprise,sepnl_dists,0.00,0.499470
L,surprise,sepnl_dists,0.25,0.489252
L,surprise,sepnl_dists,0.50,0.489790
L,surprise,sepnl_dists,0.75,0.483239
L,surprise,sepnl_dists,1.00,0.482747
L,surprise,poisson,0.00,0.277595
L,surprise,poisson,0.25,0.281330
L,surprise,poisson,0.50,0.283402
L,surprise,poisson,0.75,0.291610
L,surprise,poisson,1.00,0.343359
L,surprise,binomial,0.00,0.324786
L,surprise,binomial,0.25,0.324807
L,surprise,binomial,0.50,0.334062
L,surprise,binomial,0.75,0.358128
L,surprise,binomial,1.00,0.417840
L,surprise,leglm,0.00,0.425980
L,surprise,leglm,0.25,0.428751
L,surprise,leglm,0.50,0.433103
L,surprise,leglm,0.75,0.426450
L,surprise,leglm,1.00,0.423522
MLd,rawspectrogram,linear,0.00,0.253695
MLd,rawspectrogram,linear,0.25,0.254299
MLd,rawspectrogram,linear,0.50,0.254352
MLd,rawspectrogram,linear,0.75,0.251093
MLd,rawspectrogram,linear,1.00,0.233451
MLd,rawspectrogram,sepnl_spline,0.00,0.291662
MLd,rawspectrogram,sepnl_spline,0.25,0.312728
MLd,rawspectrogram,sepnl_spline,0.50,0.298487
MLd,rawspectrogram,sepnl_spline,0.75,0.306042
MLd,rawspectrogram,sepnl_spline,1.00,0.301808
MLd,rawspectrogram,sepnl_dists,0.00,0.264774
MLd,rawspectrogram,sepnl_dists,0.25,0.209963
MLd,rawspectrogram,sepnl_dists,0.50,0.235201
MLd,rawspectrogram,sepnl_dists,0.75,0.246369
MLd,rawspectrogram,sepnl_dists,1.00,0.264358
MLd,rawspectrogram,poisson,0.00,0.021400
MLd,rawspectrogram,poisson,0.25,0.039953
MLd,rawspectrogram,poisson,0.50,0.110065
MLd,rawspectrogram,poisson,0.75,0.193946
MLd,rawspectrogram,poisson,1.00,0.195396
MLd,rawspectrogram,binomial,0.00,0.039805
MLd,rawspectrogram,binomial,0.25,0.053625
MLd,rawspectrogram,binomial,0.50,0.163674
MLd,rawspectrogram,binomial,0.75,0.255863
MLd,rawspectrogram,binomial,1.00,0.219266
MLd,rawspectrogram,leglm,0.00,0.056880
MLd,rawspectrogram,leglm,0.25,0.069645
MLd,rawspectrogram,leglm,0.50,0.224546
MLd,rawspectrogram,leglm,0.75,0.229464
MLd,rawspectrogram,leglm,1.00,0.212797
MLd,lyons,linear,0.00,0.356614
MLd,lyons,linear,0.25,0.360693
MLd,lyons,linear,0.50,0.361232
MLd,lyons,linear,0.75,0.352724
MLd,lyons,linear,1.00,0.343322
MLd,lyons,sepnl_spline,0.00,0.474757
MLd,lyons,sepnl_spline,0.25,0.471438
MLd,lyons,sepnl_spline,0.50,0.390752
MLd,lyons,sepnl_spline,0.75,0.452079
MLd,lyons,sepnl_spline,1.00,0.404638
MLd,lyons,sepnl_dists,0.00,0.463387
MLd,lyons,sepnl_dists,0.25,0.467422
MLd,lyons,sepnl_dists,0.50,0.451435
MLd,lyons,sepnl_dists,0.75,0.460334
MLd,lyons,sepnl_dists,1.00,0.432863
MLd,lyons,poisson,0.00,0.020167
MLd,lyons,poisson,0.25,0.116965
MLd,lyons,poisson,0.50,0.190142
MLd,lyons,poisson,0.75,0.337523
MLd,lyons,poisson,1.00,0.327386
MLd,lyons,binomial,0.00,0.020801
MLd,lyons,binomial,0.25,0.029116
MLd,lyons,binomial,0.50,0.171097
MLd,lyons,binomial,0.75,0.389376
MLd,lyons,binomial,1.00,0.380039
MLd,lyons,leglm,0.00,0.065816
MLd,lyons,leglm,0.25,0.173142
MLd,lyons,leglm,0.50,0.325558
MLd,lyons,leglm,0.75,0.388379
MLd,lyons,leglm,1.00,0.364627
MLd,surprise,linear,0.00,0.289993
MLd,surprise,linear,0.25,0.287390
MLd,surprise,linear,0.50,0.285126
MLd,surprise,linear,0.75,0.279160
MLd,surprise,linear,1.00,0.277037
MLd,surprise,sepnl_spline,0.00,0.307848
MLd,surprise,sepnl_spline,0.25,0.305193
MLd,surprise,sepnl_spline,0.50,0.302056
MLd,surprise,sepnl_spline,0.75,0.313305
MLd,surprise,sepnl_spline,1.00,0.293262
MLd,surprise,sepnl_dists,0.00,0.282600
MLd,surprise,sepnl_dists,0.25,0.289718
MLd,surprise,sepnl_dists,0.50,0.255688
MLd,surprise,sepnl_dists,0.75,0.241687
MLd,surprise,sepnl_dists,1.00,0.226843
MLd,surprise,poisson,0.00,0.242053
MLd,surprise,poisson,0.25,0.235287
MLd,surprise,poisson,0.50,0.220405
MLd,surprise,poisson,0.75,0.241169
MLd,surprise,poisson,1.00,0.148155
MLd,surprise,binomial,0.00,0.296181
MLd,surprise,binomial,0.25,0.292107
MLd,surprise,binomial,0.50,0.303695
MLd,surprise,binomial,0.75,0.306558
MLd,surprise,binomial,1.00,0.215716
MLd,surprise,leglm,0.00,0.331258
MLd,surprise,leglm,0.25,0.317401
MLd,surprise,leglm,0.50,0.313289
MLd,surprise,leglm,0.75,0.306259
MLd,surprise,leglm,1.00,0.175114
OV,rawspectrogram,linear,0.00,0.534347
OV,rawspectrogram,linear,0.25,0.540039
OV,rawspectrogram,linear,0.50,0.544134
OV,rawspectrogram,linear,0.75,0.543936
OV,rawspectrogram,linear,1.00,0.538662
OV,rawspectrogram,sepnl_spline,0.00,0.535850
OV,rawspectrogram,sepnl_spline,0.25,0.572140
OV,rawspectrogram,sepnl_spline,0.50,0.578867
OV,rawspectrogram,sepnl_spline,0.75,0.589432
OV,rawspectrogram,sepnl_spline,1.00,0.584217
OV,rawspectrogram,sepnl_dists,0.00,0.554559
OV,rawspectrogram,sepnl_dists,0.25,0.565626
OV,rawspectrogram,sepnl_dists,0.50,0.570304
OV,rawspectrogram,sepnl_dists,0.75,0.586100
OV,rawspectrogram,sepnl_dists,1.00,0.591297
OV,rawspectrogram,poisson,0.00,0.241344
OV,rawspectrogram,poisson,0.25,0.281592
OV,rawspectrogram,poisson,0.50,0.298087
OV,rawspectrogram,poisson,0.75,0.295171
OV,rawspectrogram,poisson,1.00,0.287305
OV,rawspectrogram,binomial,0.00,0.132380
OV,rawspectrogram,binomial,0.25,0.239669
OV,rawspectrogram,binomial,0.50,0.508651
OV,rawspectrogram,binomial,0.75,0.522578
OV,rawspectrogram,binomial,1.00,0.503922
OV,rawspectrogram,leglm,0.00,0.481298
OV,rawspectrogram,leglm,0.25,0.483337
OV,rawspectrogram,leglm,0.50,0.487600
OV,rawspectrogram,leglm,0.75,0.478567
OV,rawspectrogram,leglm,1.00,0.413222
OV,lyons,linear,0.00,0.560577
OV,lyons,linear,0.25,0.578632
OV,lyons,linear,0.50,0.585211
OV,lyons,linear,0.75,0.586371
OV,lyons,linear,1.00,0.582058
OV,lyons,sepnl_spline,0.00,0.570627
OV,lyons,sepnl_spline,0.25,0.600840
OV,lyons,sepnl_spline,0.50,0.609501
OV,lyons,sepnl_spline,0.75,0.611139
OV,lyons,sepnl_spline,1.00,0.604239
OV,lyons,sepnl_dists,0.00,0.563201
OV,lyons,sepnl_dists,0.25,0.584606
OV,lyons,sepnl_dists,0.50,0.592296
OV,lyons,sepnl_dists,0.75,0.588313
OV,lyons,sepnl_dists,1.00,0.557139
OV,lyons,poisson,0.00,0.388408
OV,lyons,poisson,0.25,0.298143
OV,lyons,poisson,0.50,0.307840
OV,lyons,poisson,0.75,0.310360
OV,lyons,poisson,1.00,0.313836
OV,lyons,binomial,0.00,0.307300
OV,lyons,binomial,0.25,0.403555
OV,lyons,binomial,0.50,0.477701
OV,lyons,binomial,0.75,0.504238
OV,lyons,binomial,1.00,0.493429
OV,lyons,leglm,0.00,0.458536
OV,lyons,leglm,0.25,0.477732
OV,lyons,leglm,0.50,0.486177
OV,lyons,leglm,0.75,0.480444
OV,lyons,leglm,1.00,0.450827
OV,surprise,linear,0.00,0.520850
OV,surprise,linear,0.25,0.520051
OV,surprise,linear,0.50,0.517271
OV,surprise,linear,0.75,0.519528
OV,surprise,linear,1.00,0.532731
OV,surprise,sepnl_spline,0.00,0.560482
OV,surprise,sepnl_spline,0.25,0.561376
OV,surprise,sepnl_spline,0.50,0.560245
OV,surprise,sepnl_spline,0.75,0.563101
OV,surprise,sepnl_spline,1.00,0.580195
OV,surprise,sepnl_dists,0.00,0.554484
OV,surprise,sepnl_dists,0.25,0.550865
OV,surprise,sepnl_dists,0.50,0.549702
OV,surprise,sepnl_dists,0.75,0.548946
OV,surprise,sepnl_dists,1.00,0.569478
OV,surprise,poisson,0.00,0.272015
OV,surprise,poisson,0.25,0.259141
OV,surprise,poisson,0.50,0.254574
OV,surprise,poisson,0.75,0.263867
OV,surprise,poisson,1.00,0.302543
OV,surprise,binomial,0.00,0.451884
OV,surprise,binomial,0.25,0.452557
OV,surprise,binomial,0.50,0.453667
OV,surprise,binomial,0.75,0.463611
OV,surprise,binomial,1.00,0.471569
OV,surprise,leglm,0.00,0.474003
OV,surprise,leglm,0.25,0.473963
OV,surprise,leglm,0.50,0.469173
OV,surprise,leglm,0.75,0.476772
OV,surprise,leglm,1.00,0.491965
CM,rawspectrogram,linear,0.00,0.524531
CM,rawspectrogram,linear,0.25,0.530177
CM,rawspectrogram,linear,0.50,0.533937
CM,rawspectrogram,linear,0.75,0.534206
CM,rawspectrogram,linear,1.00,0.520956
CM,rawspectrogram,sepnl_spline,0.00,0.581623
CM,rawspectrogram,sepnl_spline,0.25,0.592806
CM,rawspectrogram,sepnl_spline,0.50,0.593738
CM,rawspectrogram,sepnl_spline,0.75,0.603990
CM,rawspectrogram,sepnl_spline,1.00,0.599740
CM,rawspectrogram,sepnl_dists,0.00,0.582389
CM,rawspectrogram,sepnl_dists,0.25,0.587755
CM,rawspectrogram,sepnl_dists,0.50,0.598904
CM,rawspectrogram,sepnl_dists,0.75,0.602173
CM,rawspectrogram,sepnl_dists,1.00,0.594797
CM,rawspectrogram,poisson,0.00,0.349376
CM,rawspectrogram,poisson,0.25,0.348578
CM,rawspectrogram,poisson,0.50,0.419019
CM,rawspectrogram,poisson,0.75,0.402289
CM,rawspectrogram,poisson,1.00,0.377071
CM,rawspectrogram,binomial,0.00,0.173173
CM,rawspectrogram,binomial,0.25,0.293488
CM,rawspectrogram,binomial,0.50,0.506873
CM,rawspectrogram,binomial,0.75,0.507976
CM,rawspectrogram,binomial,1.00,0.487518
CM,rawspectrogram,leglm,0.00,0.504408
CM,rawspectrogram,leglm,0.25,0.509690
CM,rawspectrogram,leglm,0.50,0.504238
CM,rawspectrogram,leglm,0.75,0.506784
CM,rawspectrogram,leglm,1.00,0.469008
CM,lyons,linear,0.00,0.601760
CM,lyons,linear,0.25,0.615585
CM,lyons,linear,0.50,0.622150
CM,lyons,linear,0.75,0.619793
CM,lyons,linear,1.00,0.607976
CM,lyons,sepnl_spline,0.00,0.636338
CM,lyons,sepnl_spline,0.25,0.660317
CM,lyons,sepnl_spline,0.50,0.657204
CM,lyons,sepnl_spline,0.75,0.662770
CM,lyons,sepnl_spline,1.00,0.645929
CM,lyons,sepnl_dists,0.00,0.611985
CM,lyons,sepnl_dists,0.25,0.648093
CM,lyons,sepnl_dists,0.50,0.654092
CM,lyons,sepnl_dists,0.75,0.642456
CM,lyons,sepnl_dists,1.00,0.628969
CM,lyons,poisson,0.00,0.253725
CM,lyons,poisson,0.25,0.364642
CM,lyons,poisson,0.50,0.432536
CM,lyons,poisson,0.75,0.410442
CM,lyons,poisson,1.00,0.400694
CM,lyons,binomial,0.00,0.185957
CM,lyons,binomial,0.25,0.335201
CM,lyons,binomial,0.50,0.360161
CM,lyons,binomial,0.75,0.513083
CM,lyons,binomial,1.00,0.496557
CM,lyons,leglm,0.00,0.502347
CM,lyons,leglm,0.25,0.507530
CM,lyons,leglm,0.50,0.502091
CM,lyons,leglm,0.75,0.503005
CM,lyons,leglm,1.00,0.494758
CM,surprise,linear,0.00,0.597572
CM,surprise,linear,0.25,0.598503
CM,surprise,linear,0.50,0.599190
CM,surprise,linear,0.75,0.599259
CM,surprise,linear,1.00,0.598211
CM,surprise,sepnl_spline,0.00,0.493634
CM,surprise,sepnl_spline,0.25,0.614010
CM,surprise,sepnl_spline,0.50,0.615667
CM,surprise,sepnl_spline,0.75,0.615833
CM,surprise,sepnl_spline,1.00,0.584947
CM,surprise,sepnl_dists,0.00,0.604120
CM,surprise,sepnl_dists,0.25,0.604941
CM,surprise,sepnl_dists,0.50,0.594753
CM,surprise,sepnl_dists,0.75,0.601293
CM,surprise,sepnl_dists,1.00,0.597246
CM,surprise,poisson,0.00,0.360838
CM,surprise,poisson,0.25,0.358649
CM,surprise,poisson,0.50,0.355014
CM,surprise,poisson,0.75,0.359473
CM,surprise,poisson,1.00,0.308166
CM,surprise,binomial,0.00,0.421519
CM,surprise,binomial,0.25,0.420140
CM,surprise,binomial,0.50,0.424881
CM,surprise,binomial,0.75,0.441164
CM,surprise,binomial,1.00,0.473971
CM,surprise,leglm,0.00,0.510945
CM,surprise,leglm,0.25,0.510683
CM,surprise,leglm,0.50,0.514518
CM,surprise,leglm,0.75,0.514201
CM,surprise,leglm,1.00,0.504028
L,rawspectrogram,linear,0.00,0.276990
L,rawspectrogram,linear,0.25,0.293225
L,rawspectrogram,linear,0.50,0.289098
L,rawspectrogram,linear,0.75,0.286586
L,rawspectrogram,linear,1.00,0.274599
L,rawspectrogram,sepnl_spline,0.00,0.325506
L,rawspectrogram,sepnl_spline,0.25,0.282130
L,rawspectrogram,sepnl_spline,0.50,0.339385
L,rawspectrogram,sepnl_spline,0.75,0.352249
L,rawspectrogram,sepnl_spline,1.00,0.352840
L,rawspectrogram,sepnl_dists,0.00,0.335241
L,rawspectrogram,sepnl_dists,0.25,0.339776
L,rawspectrogram,sepnl_dists,0.50,0.349567
L,rawspectrogram,sepnl_dists,0.75,0.361107
L,rawspectrogram,sepnl_dists,1.00,0.356129
L,rawspectrogram,poisson,0.00,0.141901
L,rawspectrogram,poisson,0.25,0.231182
L,rawspectrogram,poisson,0.50,0.296659
L,rawspectrogram,poisson,0.75,0.294373
L,rawspectrogram,poisson,1.00,0.325540
L,rawspectrogram,binomial,0.00,0.083389
L,rawspectrogram,binomial,0.25,0.090304
L,rawspectrogram,binomial,0.50,0.235773
L,rawspectrogram,binomial,0.75,0.304794
L,rawspectrogram,binomial,1.00,0.334749
L,rawspectrogram,leglm,0.00,0.201872
L,rawspectrogram,leglm,0.25,0.303457
L,rawspectrogram,leglm,0.50,0.315782
L,rawspectrogram,leglm,0.75,0.323498
L,rawspectrogram,leglm,1.00,0.333092
L,lyons,linear,0.00,0.240616
L,lyons,linear,0.25,0.243652
L,lyons,linear,0.50,0.246096
L,lyons,linear,0.75,0.246948
L,lyons,linear,1.00,0.225497
L,lyons,sepnl_spline,0.00,0.208752
L,lyons,sepnl_spline,0.25,0.254211
L,lyons,sepnl_spline,0.50,0.254572
L,lyons,sepnl_spline,0.75,0.256763
L,lyons,sepnl_spline,1.00,0.233642
L,lyons,sepnl_dists,0.00,0.250582
L,lyons,sepnl_dists,0.25,0.249604
L,lyons,sepnl_dists,0.50,0.255480
L,lyons,sepnl_dists,0.75,0.197015
L,lyons,sepnl_dists,1.00,0.198472
L,lyons,poisson,0.00,0.073523
L,lyons,poisson,0.25,0.136399
L,lyons,poisson,0.50,0.232849
L,lyons,poisson,0.75,0.225474
L,lyons,poisson,1.00,0.236509
L,lyons,binomial,0.00,0.143992
L,lyons,binomial,0.25,0.246447
L,lyons,binomial,0.50,0.253808
L,lyons,binomial,0.75,0.256037
L,lyons,binomial,1.00,0.245103
L,lyons,leglm,0.00,0.139559
L,lyons,leglm,0.25,0.249119
L,lyons,leglm,0.50,0.256217
L,lyons,leglm,0.75,0.259171
L,lyons,leglm,1.00,0.239060
L,surprise,linear,0.00,0.317755
L,surprise,linear,0.25,0.321000
L,surprise,linear,0.50,0.322268
L,surprise,linear,0.75,0.321650
L,surprise,linear,1.00,0.321064
L,surprise,sepnl_spline,0.00,0.320456
L,surprise,sepnl_spline,0.25,0.335796
L,surprise,sepnl_spline,0.50,0.337851
L,surprise,sepnl_spline,0.75,0.329771
L,surprise,sepnl_spline,1.00,0.320349
L,surprise,sepnl_dists,0.00,0.337507
L,surprise,sepnl_dists,0.25,0.343008
L,surprise,sepnl_dists,0.50,0.337926
L,surprise,sepnl_dists,0.75,0.322088
L,surprise,sepnl_dists,1.00,0.310575
L,surprise,poisson,0.00,0.336125
L,surprise,poisson,0.25,0.322702
L,surprise,poisson,0.50,0.307785
L,surprise,poisson,0.75,0.309336
L,surprise,poisson,1.00,0.294737
L,surprise,binomial,0.00,0.340305
L,surprise,binomial,0.25,0.340364
L,surprise,binomial,0.50,0.351434
L,surprise,binomial,0.75,0.366569
L,surprise,binomial,1.00,0.324396
L,surprise,leglm,0.00,0.374032
L,surprise,leglm,0.25,0.366823
L,surprise,leglm,0.50,0.362367
L,surprise,leglm,0.75,0.365333
L,surprise,leglm,1.00,0.322008
MLd,rawspectrogram,linear,0.00,0.418242
MLd,rawspectrogram,linear,0.25,0.423969
MLd,rawspectrogram,linear,0.50,0.425739
MLd,rawspectrogram,linear,0.75,0.420609
MLd,rawspectrogram,linear,1.00,0.405199
MLd,rawspectrogram,sepnl_spline,0.00,0.489058
MLd,rawspectrogram,sepnl_spline,0.25,0.533302
MLd,rawspectrogram,sepnl_spline,0.50,0.542305
MLd,rawspectrogram,sepnl_spline,0.75,0.496287
MLd,rawspectrogram,sepnl_spline,1.00,0.528737
MLd,rawspectrogram,sepnl_dists,0.00,0.514621
MLd,rawspectrogram,sepnl_dists,0.25,0.511147
MLd,rawspectrogram,sepnl_dists,0.50,0.521540
MLd,rawspectrogram,sepnl_dists,0.75,0.546253
MLd,rawspectrogram,sepnl_dists,1.00,0.528800
MLd,rawspectrogram,poisson,0.00,0.046043
MLd,rawspectrogram,poisson,0.25,0.224222
MLd,rawspectrogram,poisson,0.50,0.325256
MLd,rawspectrogram,poisson,0.75,0.246088
MLd,rawspectrogram,poisson,1.00,0.293973
MLd,rawspectrogram,binomial,0.00,0.165399
MLd,rawspectrogram,binomial,0.25,0.164690
MLd,rawspectrogram,binomial,0.50,0.369847
MLd,rawspectrogram,binomial,0.75,0.396370
MLd,rawspectrogram,binomial,1.00,0.390562
MLd,rawspectrogram,leglm,0.00,0.149200
MLd,rawspectrogram,leglm,0.25,0.236602
